118	TOM SCULLY 	96	EF EDUCATION FIRST 	06h 07' 09''	+ 00h 32' 54''	-	-
119	ALEXANDER KRISTOFF 	126	UAE TEAM EMIRATES 	06h 07' 09''	+ 00h 32' 54''	-	-
120	MATEJ MOHORIC 	46	BAHRAIN - MERIDA 	06h 07' 09''	+ 00h 32' 54''	-	-
121	ANDR… GREIPEL 	215	TEAM ARKEA - SAMSIC 	06h 07' 09''	+ 00h 32' 54''	-	-
122	NICCOL“ BONIFAZIO 	172	TOTAL DIRECT ENERGIE 	06h 07' 09''	+ 00h 32' 54''	-	-
123	MICHAEL HEPBURN 	104	MITCHELTON - SCOTT 	06h 07' 09''	+ 00h 32' 54''	-	-
124	WILLIAM BONNET 	52	GROUPAMA - FDJ 	06h 07' 09''	+ 00h 32' 54''	-	-
125	MAXIME MONFORT 	167	LOTTO SOUDAL 	06h 07' 09''	+ 00h 32' 54''	-	-
126	FLORIAN VACHON 	218	TEAM ARKEA - SAMSIC 	06h 07' 09''	+ 00h 32' 54''	-	-
127	LUKASZ WISNIOWSKI 	118	CCC TEAM 	06h 07' 09''	+ 00h 32' 54''	-	-
128	ANDREA PASQUALON 	197	WANTY - GOBERT CYCLING TEAM 	06h 07' 09''	+ 00h 32' 54''	-	-
129	JOS… GON«ALVES 	184	TEAM KATUSHA ALPECIN 	06h 07' 09''	+ 00h 32' 54''	-	-
130	JULIEN SIMON 	158	COFIDIS, SOLUTIONS CREDITS 	06h 07' 09''	+ 00h 32' 54''	-	-
131	KASPER ASGREEN 	22	DECEUNINCK - QUICK - STEP 	06h 07' 09''	+ 00h 32' 54''	-	-
132	EDVALD BOASSON HAGEN 	201	TEAM DIMENSION DATA 	06h 07' 09''	+ 00h 32' 54''	-	-
133	REINARDT JANSE VAN RENSBURG 	204	TEAM DIMENSION DATA 	06h 07' 09''	+ 00h 32' 54''	-	-
134	VEGARD STAKE LAENGEN 	127	UAE TEAM EMIRATES 	06h 07' 09''	+ 00h 32' 54''	-	-
135	LUKE DURBRIDGE 	102	MITCHELTON - SCOTT 	06h 07' 09''	+ 00h 32' 54''	-	-
136	SVEN ERIK BYSTRÿM 	123	UAE TEAM EMIRATES 	06h 07' 09''	+ 00h 32' 54''	-	-
137	ALEXIS GOUGEARD 	36	AG2R LA MONDIALE 	06h 07' 09''	+ 00h 32' 54''	-	-
138	STEPHEN CUMMINGS 	203	TEAM DIMENSION DATA 	06h 07' 45''	+ 00h 33' 30''	-	-
139	YVES LAMPAERT 	24	DECEUNINCK - QUICK - STEP 	06h 07' 56''	+ 00h 33' 41''	-	-
140	DRIES DEVENYNS 	23	DECEUNINCK - QUICK - STEP 	06h 07' 56''	+ 00h 33' 41''	-	-
141	DYLAN GROENEWEGEN 	84	TEAM JUMBO - VISMA 	06h 07' 56''	+ 00h 33' 41''	-	-
142	FABIEN GRELLIER 	173	TOTAL DIRECT ENERGIE 	06h 07' 56''	+ 00h 33' 41''	-	-
143	OMAR FRAILE MATARRANZ 	73	ASTANA PRO TEAM 	06h 07' 56''	+ 00h 33' 41''	-	-
144	MADS W‹RTZ 	187	TEAM KATUSHA ALPECIN 	06h 08' 01''	+ 00h 33' 46''	-	-
145	IVAN GARCIA CORTINA 	45	BAHRAIN - MERIDA 	06h 09' 01''	+ 00h 34' 46''	-	-
146	ROGER KLUGE 	166	LOTTO SOUDAL 	06h 09' 01''	+ 00h 34' 46''	-	-
147	ANTHONY TURGIS 	178	TOTAL DIRECT ENERGIE 	06h 09' 01''	+ 00h 34' 46''	-	-
148	CALEB EWAN 	161	LOTTO SOUDAL 	06h 09' 01''	+ 00h 34' 46''	-	-
149	REIN TAARAMƒE 	176	TOTAL DIRECT ENERGIE 	06h 09' 06''	+ 00h 34' 51''	-	-
150	MATTEO TRENTIN 	107	MITCHELTON - SCOTT 	06h 09' 39''	+ 00h 35' 24''	-	-
151	LARS BAK YTTING 	202	TEAM DIMENSION DATA 	06h 10' 02''	+ 00h 35' 47''	-	-
152	MARCUS BURGHARDT 	13	BORA - HANSGROHE 	06h 10' 51''	+ 00h 36' 36''	-	-
153	ELIA VIVIANI 	28	DECEUNINCK - QUICK - STEP 	06h 10' 51''	+ 00h 36' 36''	-	-
154	PETER SAGAN 	11	BORA - HANSGROHE 	06h 10' 51''	+ 00h 36' 36''	-	-
155	SEBASTIAN LANGEVELD 	95	EF EDUCATION FIRST 	06h 10' 51''	+ 00h 36' 36''	-	-
156	MICHAEL MÿRKÿV 	26	DECEUNINCK - QUICK - STEP 	06h 16' 17''	+ 00h 42' 02''	-	-
